"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"17.05.2023","2.058,0","2.047,4","2.077,8","2.028,0","453,02K","0,61%"
"16.05.2023","2.045,6","2.056,6","2.063,6","2.022,0","370,19K","-0,20%"
"15.05.2023","2.049,6","2.020,0","2.050,0","2.013,2","414,17K","1,87%"
"12.05.2023","2.012,0","2.000,0","2.017,0","1.991,0","355,08K","0,24%"
"11.05.2023","2.007,2","2.030,0","2.052,0","1.961,0","1,24M","-0,08%"
"10.05.2023","2.008,8","1.956,0","2.012,0","1.945,8","657,35K","3,39%"
"08.05.2023","1.943,0","1.949,0","1.969,0","1.930,4","166,17K","-0,26%"
"05.05.2023","1.948,0","1.979,4","1.988,2","1.946,2","426,61K","-1,60%"
"04.05.2023","1.979,6","1.935,0","1.992,4","1.930,2","712,32K","2,55%"
"03.05.2023","1.930,4","2.028,6","2.028,6","1.922,2","1,08M","-4,20%"
"02.05.2023","2.015,0","2.075,0","2.099,0","1.980,0","1,01M","-2,69%"
"28.04.2023","2.070,6","2.102,0","2.108,0","2.050,2","626,66K","-1,48%"
"27.04.2023","2.101,6","2.123,2","2.159,0","2.082,0","1,69M","-0,54%"
"26.04.2023","2.113,0","2.063,0","2.125,0","2.059,6","1,09M","2,60%"
"25.04.2023","2.059,4","2.087,4","2.088,2","2.044,0","408,51K","-0,99%"
"24.04.2023","2.080,0","2.087,0","2.108,2","2.065,8","506,60K","-0,33%"
"21.04.2023","2.086,8","2.106,6","2.128,6","2.062,0","1,23M","-0,56%"
"20.04.2023","2.098,6","1.996,2","2.100,0","1.963,2","1,93M","5,48%"
"19.04.2023","1.989,6","1.987,0","2.028,2","1.962,0","1,01M","0,41%"
"18.04.2023","1.981,4","1.970,0","1.985,0","1.953,0","422,96K","0,84%"
"17.04.2023","1.964,8","1.955,0","1.980,0","1.948,0","334,70K","1,02%"
"14.04.2023","1.945,0","1.957,0","1.959,6","1.940,0","178,52K","-0,46%"
"13.04.2023","1.954,0","1.959,4","1.966,8","1.942,0","243,76K","0,02%"
"12.04.2023","1.953,6","1.962,0","1.969,8","1.935,2","309,95K","0,07%"
"11.04.2023","1.952,2","1.998,0","2.019,0","1.927,8","1,08M","-2,05%"
"10.04.2023","1.993,0","1.925,0","1.998,2","1.922,2","1,39M","3,81%"
